WorkTimeInSeconds,Input.Hotel,Input.Question,Answer.Q1AnswerPart1
16,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
123,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
9,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
42,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
5,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
3,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
32,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
135,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
11,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
13,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
49,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
353,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
303,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
265,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
3,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,-1
113,Holiday Inn St Louis SW - Route66,Are the rooms of this hotel reasonably comfortable?,1
233,Holiday Inn St Louis SW - Route66,Are the rooms of this hotel reasonably comfortable?,1
22,Holiday Inn St Louis SW - Route66,Are the rooms of this hotel reasonably comfortable?,1
13,Holiday Inn St Louis SW - Route66,Are the rooms of this hotel reasonably comfortable?,1
167,Holiday Inn St Louis SW - Route66,Are the rooms of this hotel reasonably comfortable?,1
442,Holiday Inn St Louis SW - Route66,Are the rooms of this hotel reasonably comfortable?,1
96,Holiday Inn St Louis SW - Route66,Are the rooms of this hotel reasonably comfortable?,1
17,Holiday Inn St Louis SW - Route66,Are the rooms of this hotel reasonably comfortable?,1
50,Holiday Inn St Louis SW - Route66,Are the rooms of this hotel reasonably comfortable?,-1
11,Holiday Inn St Louis SW - Route66,Are the rooms of this hotel reasonably comfortable?,1
5,Holiday Inn St Louis SW - Route66,Are the rooms of this hotel reasonably comfortable?,1
66,Holiday Inn St Louis SW - Route66,Are the rooms of this hotel reasonably comfortable?,1
72,Holiday Inn St Louis SW - Route66,Are the rooms of this hotel reasonably comfortable?,1
573,Holiday Inn St Louis SW - Route66,Are the rooms of this hotel reasonably comfortable?,1
3,Holiday Inn St Louis SW - Route66,Are the rooms of this hotel reasonably comfortable?,1
27,Holiday Inn St Louis SW - Route66,Are the rooms of this hotel reasonably comfortable?,1
